标题,阅读量,评论,时间
【沪深300IF2111主力合约】沪深300整体窄幅震荡；日线收取一根上下影线的,351,0,2021-11-05 08:35
重组压力大,368,0,2021-11-04 08:24
【600888新疆众和】按照最新兴业研报，今年净利增+167%，也就是：今年净利,241,0,2021-11-04 07:09
九龙转世,431,9,2021-11-03 01:22
11月5日可转债：无明天暂无新债，预告下周一有两只新债，等周末出分析~预测价格：,524,0,2021-11-04 05:20
昨天的30分钟底部背离有效！明天继续看涨！目测明天不会产生高点，大家可以安心持仓,345,1,2021-11-04 03:27
周五指数一根已经箭在弦上了。非农之夜，让昨晚的议息子弹再飞一会。宁德时代，,399,0,2021-11-04 04:54
沪深技术面思路分析,462,0,2021-11-04 04:53
转发,291,0,2021-11-04 04:34
近2年回报超190%！如何动态把握行业龙头机会？,301,0,2021-11-04 02:47
看样子站不稳五日线了,219,0,2021-11-04 02:42
中证500不比沪深300强？,432,2,2021-11-04 10:11
沪深300横盘这么久必会破位杀,358,2,2021-11-04 10:11
11月2日可转债：希望转2：建议申购高能转债来了，希望转2明天上市申购，当前转股,2533,1,2021-11-01 06:30
@东方财富股票财富号 $沪深300(SH000300)$[兴奋][兴奋][兴奋],321,0,2021-11-04 01:46
沪深和上证共振30分钟底部背离！30分钟钝化消失之前，他就是低点！300ETF和,569,8,2021-11-03 03:08
高开低走，尾盘拉稀,260,1,2021-11-04 09:34
有基金开始云盘300了，怎么说？,240,0,2021-11-04 08:53
烂泥扶不上墙,279,1,2021-11-03 11:14
长空,382,2,2021-11-02 09:46
又TM连续三天十字星！,255,1,2021-11-03 02:37
千万别买迈拓股份,372,3,2021-11-01 10:56
近2年回报超190%!如何动态把握行业龙头机会?,4955,3,2021-11-03 09:24
在某宝发贴被屏蔽了，借贵宝地再发一次，望各方家教授勿喷[呲牙][握手],401,1,2021-11-03 05:33
11月4日可转债：锦鸡转债：上市明天锦鸡转债上市申购，当前转股价值100，预测价,1533,0,2021-11-03 05:10
就这个？,226,0,2021-11-03 03:36
执行加仓计划！,571,6,2021-11-03 10:01
30分钟还在钝化，如果抄不对底，30分钟钝化会消失！如果30分钟钝化消失，减两成,343,2,2021-11-03 12:06
随便一发，明日大盘早上走势先跌，然后再慢回升，明天估计还是个阴线我的预测没有太多,394,1,2021-11-02 06:28
无量下跌你骗谁呢？有本事你爆大量下跌！继续补仓,390,2,2021-11-02 01:37
和中信一样长空,349,3,2021-10-26 10:41
不来点解药嘛……$沪深300(SH000300)$$上证指数(SH000001),482,0,2021-11-03 10:31
这个沪深300指数怎么买啊,675,10,2021-11-02 09:52
都在喊空！你们扪心自问一下！就算下跌是不是要测一测年线？,230,0,2021-11-03 10:28
【沪深300IF2111主力合约】沪深300整体跳空低开先跌后涨；日线收取一根上,381,0,2021-11-03 08:42
这种暴跌的情况下，明天继续跌，唉就没看看涨过,303,1,2021-10-27 02:17
长空,377,5,2021-10-28 08:11
继续等涨！如再下，30分钟底部结构背离形成，可加最后一成仓！等着吧，看是九成仓赚,498,5,2021-11-01 03:54
11月3日可转债：百润转债：上市百润终于上市了，当前预测价127，百润是消费行业,1070,0,2021-11-02 05:53
估计这波要连补两个缺口。直接回到去年6月突破前的位置。,360,0,2021-11-02 05:07
中证500强,318,0,2021-11-02 11:30
豪尔赛(002963.SZ)10月29日在投资者互动平台表示，绍兴中芯集成电路制造股份有限公司已向中国证券监督管理委员会浙江监管局报送了辅导备案材料，目前正在接受海通证券股份有限公司的辅导，详情请关注,311,2,2021-11-01 09:26
我们买的每次回过头再看都在高高的山顶上，现在我们为啥跌的时候不买呢？因为我们恐惧,304,0,2021-11-02 08:04
11.4倍PE，是不是错了,329,1,2021-11-01 05:51
转发,257,0,2021-11-01 08:41
今天的PE怎么这么低？到11.4倍了！,244,0,2021-11-01 05:48
600888新疆众和——下午涨停！,254,0,2021-11-01 12:34
中证500慢牛慢牛,248,0,2021-11-01 10:45
加强针疫苗股也没啥意思了……现在全看解药股发力了……$沪深300(SH00030,733,2,2021-11-01 09:18
转发,241,0,2021-10-31 09:27
转发,289,0,2021-10-30 09:42
昨天低点加仓后如期反弹！目前没有高点，倒是有个右侧低点指标，尾盘多市场共振形成1,531,1,2021-10-29 03:11
转发,316,0,2021-10-29 08:26
11月1日可转债：首华转债：谨慎申购下周一首华转债上市申购，当前转股价值78，预,6932,0,2021-10-29 06:07
沪深300的估值为什么突然从13.22降到9.1了,546,3,2021-10-29 01:43
豪尔赛(002963.SZ)10月28日在投资者互动平台表示，公司于2021年9月23日中标2022年第十九届杭州亚运会绍兴市柯桥区羊山攀岩中心智慧光艺项目，该项目未达到相关披露标准,253,0,2021-10-29 09:30
$上证指数(SH000001)$$沪深300(SH000300)$解药股都新高了,531,0,2021-10-29 09:26
期货市场开始踩踏，A股也被带崩了。。。,1655,1,2021-10-28 06:48
低点如期而至！执行昨天策略，加一成仓，持仓变九成！短线看反弹！希望这波能让日线D,547,6,2021-10-28 03:04
转发,223,0,2021-10-28 08:27
10月29日可转债：耐普转债：建议申购新债连连，明天耐普转债上市申购，当前转股价,1009,0,2021-10-28 05:43
预测指数有近10%的下跌空间,263,0,2021-10-28 02:41
拉几,273,0,2021-10-28 01:34
抄底金针，外资净买入60亿,329,1,2021-10-28 11:03
如果明天持续下跌，明天尾盘60分钟低九，是短线止跌指标！低点连线支撑点位在485,687,2,2021-10-27 03:20
股市掉碴,316,0,2021-10-28 09:25
豪尔赛(002963.SZ)10月27日在投资者互动平台表示，公司通过参与北京冬奥会项目建设，积累了丰富的项目经验，取得了先进的技术成果，进一步提升了公司科技创新能力及品牌竞争力，将为公司后续项目的开,230,0,2021-10-28 09:17
转发,224,0,2021-10-27 09:03
转发,234,0,2021-10-27 08:54
【600888新疆众和】10月28日起，将连续一字涨停！,289,1,2021-10-27 04:30
10月28日可转债：宏发转债：建议申购新债宏发转债来了，当前转股价值101，预测,2570,0,2021-10-27 05:11
劣币驱良币[哈欠][哈欠][哈欠],241,0,2021-10-27 02:56
拉几中的战斗鸡,284,0,2021-10-27 01:57
拉升,276,0,2021-10-27 01:48
豪尔赛(002963)紧密围绕北京冬奥会智能、绿色、低碳的创办理念，参与了北京冬奥会国家跳台滑雪中心“雪如意”、国家雪车雪橇中心、首钢滑雪大跳台系列项目建设，为“冰雪冬奥”增光添彩。 　　据了解，豪尔,274,1,2021-10-27 11:25
要殓不？让港资美资做空还跟着做空!,235,0,2021-10-27 12:43
可能是我死扛着不卖，耽误大家了[抱拳][抱拳],301,1,2021-10-27 10:24
可以散了，别老是围在这里,259,0,2021-10-27 12:23
中证500慢牛行情不变,315,3,2021-10-27 09:52
月线死叉的东西,261,0,2021-10-27 10:05
昨天中午在电梯里，听见隔壁私募公司的基金经理聊天，觉得一个三年长度大熊市要来了，,358,0,2021-10-27 09:44
真他么拉几…,269,0,2021-10-27 09:43
今天上沪深300的120分钟高九，且15分钟和30分钟共振顶背离，下午上证指数和,592,1,2021-10-26 03:22
上涨是便秘！~下跌是拉稀！~[旺柴],288,0,2021-10-27 01:50
转发,346,0,2021-10-26 11:25
转发,242,0,2021-10-26 08:20
10月27日可转债：赛伍转债：建议申购又来一只新债，明天赛伍转债上市申购，当前转,2421,0,2021-10-26 07:56
开低会走高，开高会走低，没有任何一致性可言，唯一欣慰的是每天重心都抬高一点点,327,0,2021-10-26 04:49
今天上午120分钟高九，目前90分钟还在顶部钝化，但容易消失，如果90分钟钝化消,478,5,2021-10-26 08:12
A50指数，真正的中国核心资产,1426,0,2021-10-26 11:26
能不能硬气一回,236,0,2021-10-26 10:36
重仓买进国网英大，底部启动即将爆发开启主升浪*,326,0,2021-10-26 09:27
这个位置压力大,333,0,2021-10-25 10:28
跟沪深300一对比，今年这个收益率我也是满足了，但今年10%的目标还有戏么,377,0,2021-10-25 04:17
看多,577,1,2021-10-24 09:29
转发,215,0,2021-10-25 08:22
10月26日可转债：中大转债：建议申购明天中大转债上市申购，当前转股价值102，,2170,0,2021-10-25 05:24
基金规模对基金经理选股配置和交易能力的影响...,699,0,2021-10-25 03:46
【600888新疆众和】——理性价值，大涨在即！！,340,0,2021-10-25 02:59
002963豪尔赛：2021年前三季度归母净利润同比增长47.8%，约为5476万元 来源：东方财富Choice数据 作者：财智星 豪尔赛于2021年10月25日披露三季报，公司2021年前三季度实现,320,0,2021-10-25 10:13
10月25日可转债：帝欧转债：建议申购来晚了，今天帝欧上市申购，目前价格122，,3923,0,2021-10-25 09:11
转发,239,0,2021-10-24 08:50
不成熟的一周,287,0,2021-10-24 07:20
月线七月见底，八九十月构成三个月逆转第一浪，很不容易。因为顶着美元诱多，顶着美股,811,3,2021-10-23 05:05
仓位管理,626,1,2021-10-21 09:36
灵魂股400076.灵魂企业.灵魂股东.灵魂股民，下星期五点香一起过奈河桥，股民,303,0,2021-10-23 12:51
马上要选择方向了[国家队],419,1,2021-10-21 09:56
90分钟顶部钝化！日线突破三角形上轨！又是买点和卖点共存！下周一，90分钟顶背离,753,2,2021-10-22 04:19
财政部的数据显示，今年前9个月证券印花税2302亿，同比增长了40%。今年你贡献,321,0,2021-10-22 10:33
又是指数行情，沪深300拉上天，主力自己玩吧,383,2,2021-10-22 12:45
300应该下跌空间不大了,374,2,2021-10-22 09:41
002963豪尔赛公告，近日，公司收到参股基金共青城秋实股权投资合伙企业的通知，中芯集成已向浙江证监局报送了辅导备案材料，目前正在接受海通证券股份有限公司的辅导。中芯集成的主营业务是以微机电（MEMS,248,0,2021-10-22 10:12
豪尔赛(002963)董事会秘书侯春辉在活动中表示，公司参与建设的北京2022年冬奥会和冬残奥会张家口赛区张家口奥运村及古杨树场馆群建设项目-北欧中心跳台滑雪场(国家跳台滑雪中心雪如意)智慧照明系统及,614,0,2021-10-22 09:55
如果抗住了所有，未来必将成大器,284,0,2021-10-21 10:45
小300大未来[旺柴],293,0,2021-10-21 10:45
等！八成仓等着！等一根大阳线！因为向上进行突破需要一根大阳线的力度！等着看大阳线,451,2,2021-10-21 03:19
转发,248,0,2021-10-21 08:24
涨了那么多天，一天跌回来[旺柴][旺柴],386,2,2021-10-18 10:32
等选择方向,548,1,2021-10-20 10:01
又没有假摔！只能等下去了！5月底以来的日线高低点三角形越来越窄，近期会选择方向进,600,3,2021-10-20 03:21
转发,271,0,2021-10-20 08:36
10月21日可转债：泉峰转债：上市泉峰来了，今天正股再涨停，预测转债价格为138,1375,0,2021-10-20 06:15
重仓买进煤炭，主升浪，不买来不及了,380,2,2021-10-18 01:05
甩下车了！,280,0,2021-10-20 01:09
【600888新疆众和！】从今天起的未来2周（到11月5日左右），是新疆众和的上,327,0,2021-10-20 12:48
奇葩,306,0,2021-10-20 10:34
强者恒强，中证500慢牛行情,333,0,2021-10-20 10:11
上证50比沪深300更适合做为期权期货的标的，波动更大。etf申购需要的钱更少。,486,0,2021-10-20 09:35
今天再次验证了没有高点指标的下跌不可怕！今天还是没有高点指标！等就是了！明天注意,420,1,2021-10-19 03:18
10月20日可转债：无预告泉峰转债周四（10.21）上市，泉峰正股今天涨停，预测,983,0,2021-10-19 09:54
中午4900做空了？看看本周有没有机会。,385,3,2021-10-19 05:27
明天爆量站上20周线,269,0,2021-10-19 09:21
转发,224,0,2021-10-19 09:09
看好后市,478,0,2021-10-19 08:41
一阳穿……,325,0,2021-10-19 08:16
明天决定短线是否介入，中长期已成定局！具体请看我的详细推演,285,0,2021-10-19 07:56
一颗穿云箭,291,0,2021-10-19 07:42
怎么买指数啊,495,6,2021-10-18 09:38
太难了,252,0,2021-10-19 02:42
10月19日可转债：无今天瑞丰还不错，收盘109，基本符合预期~预测价格：预测价,384,1,2021-10-18 07:27
又是没有高点指标的下跌！目前没有高低点指标！这里的诀窍就是耐心、耐心、再耐心！今,558,4,2021-10-18 03:17
豪尔赛(002963)携手北京世界花卉大观园联袂打造的《缘梦夜游体验记》国庆特别活动。  　　现场，豪尔赛智慧文旅事业部人员介绍，作为新潮的沉浸式数字魔幻光影乐园，《缘梦夜游体验记》依托于大观园独特的,338,1,2021-10-15 09:42
[买入][买入][买入][买入][买入][买入][买入][买入][买入][买入],257,0,2021-10-19 10:16
300etf基金还是有他们的差别的，每次要定投300etf时候，就打开拉一下，哪,666,3,2021-10-16 01:50
转发,299,0,2021-10-18 08:55
拉升即将开始,323,1,2021-10-18 02:01
【海棠论期】10/18股指期货IF沪深300策略一览,526,1,2021-10-18 02:00
沪深300指数走势分享日线级别当前在走日线级别的一笔向上还在进行中整体还是动能不,516,0,2021-10-18 04:39
中国金融大时代：牛市开始,315,0,2021-10-18 11:09
煤炭重仓杀入，主升浪开启！,281,0,2021-10-18 10:43
距离上方缺口正好三个点距离，周一就可以完成。,404,2,2021-10-16 06:35
每次回调都值得买入控制楼市利好股市,339,1,2021-10-18 10:15
手把手教你配置指数基金，新手入门必看,1077,0,2021-10-18 07:10
继续反弹？,550,0,2021-10-17 09:40
【600888新疆众和！】理性价值，周一继续涨停9.71元！请看过往帖子，欢迎理,332,0,2021-10-17 09:03
【600888新疆众和！！】明日应该是涨停，甚至是一字涨停！！,307,1,2021-10-14 08:48
转发,283,0,2021-10-17 08:52
下周有望共振上涨！,443,0,2021-10-17 05:17
怎么买入沪深300啊？,415,1,2021-10-16 01:49
投资变成过奈何桥，400076亏套差不多十年了，奈何桥资金变成铁窗泪,298,0,2021-10-17 01:56
日线MACD和DIFF都在向上运行，大家耐心等着高点指标出现吧，不出现，就持仓不,546,6,2021-10-15 03:46
【600888新疆众和！】理性价值，周一继续涨停9.71元！请看过往帖子，欢迎理,253,0,2021-10-16 06:06
有只交易指数ETF的老师讲讲经验心得吗？,808,4,2021-08-21 08:09
转发,285,0,2021-10-15 09:29
现在就等量能一声令下，,276,0,2021-10-15 04:22
【600888新疆众和！】望能淡定持有，在1月份之前，至少回归合理价值15元，长,373,0,2021-10-15 04:09
其实沪深300早就在年线下活动了,485,2,2021-10-15 02:00
还是抱团取暖，机构自己玩儿吧！,275,0,2021-10-15 01:34
沪深300品种没沪深500牛,361,0,2021-10-15 12:59
现在真会玩，股指交割日抢跑,371,2,2021-10-15 10:29
转发,288,0,2021-10-15 09:03
【600888新疆众和！】——今日10月15日，迎接涨停！真心想买的，集合竞价以,321,0,2021-10-15 06:28
10月15日可转债：无更新表格了~预测价格：预测价格=转股价值*（1+转股溢价率,515,0,2021-10-14 09:51
情绪低点,426,0,2021-10-14 09:17
股指交割日魔咒再现。大户还是抛售现货。,483,0,2021-10-14 02:48
明天开始，沪深300大概率上穿日线0轴！大家注意，明天尾盘上穿0轴的同时出现假摔,832,7,2021-10-13 03:22
600888新疆众和如期如量的预增，年报预增在1月底之前，+120%以上，PE1,376,0,2021-10-14 06:21
今天假摔指标没形成，可惜了！今天日线0轴突破了！明天开始，就等着日线0轴上的第一,451,5,2021-10-14 03:13
【600888新疆众和！！】今明会出预增公告，+130%～+160%。股价已步入,13459,0,2021-10-14 02:17
沪深300期指期权临近交割震荡没方向，那期权得归零，这是啥意思,424,1,2021-10-14 01:46
打爆A50空头,385,2,2021-10-14 10:20
豪尔赛(002963)董事会秘书侯春辉在活动中表示，公司参与建设的北京2022年冬奥会和冬残奥会张家口赛区张家口奥运村及古杨树场馆群建设项目-北欧中心跳台滑雪场(国家跳台滑雪中心雪如意)智慧照明系统及,627,1,2021-10-14 09:55
拉几东西,387,0,2021-10-14 10:22
早评：全力推动煤炭增产，顺周期板块投资需谨慎大家早上好，你们的大头又来了！今天是,534,0,2021-10-14 09:32
转发,245,0,2021-10-14 09:21
割裂,577,0,2021-10-13 10:01
今年偏股票类型公募基金涨跌幅中位数1.16%。已经大战10个月了，盈利1.16%,312,0,2021-10-13 09:24
10月14日可转债：无没有新债消息，大家继续耐心等待哈。另外，瑞丰今天涨了点~预,454,0,2021-10-13 07:43
没有高点指标共振的下跌无需恐惧！后市看涨的逻辑不变！这里的上证和深成指有30分钟,383,3,2021-10-12 03:25
上证5到30分钟底部背离形成，60到120分钟底部钝化，深成指30分钟底部背离形,572,4,2021-10-13 11:46
债基都崩了…,619,0,2021-10-13 04:31
三角形底部筑底成功，稳步前进！买近远期购耐心持有！,338,2,2021-10-13 01:55
没量呀,362,1,2021-10-13 02:20
为什么每天一到二点后就掉呀，真是神奇的二点半,274,0,2021-10-13 02:10
补涨,277,0,2021-10-13 01:38
转发,278,1,2021-10-13 10:07
重仓买进50etf，底部反转机构新赛道！……,469,1,2021-10-13 09:12
股指期权建仓正当时，财富在向你招手。,367,1,2021-10-13 12:21
002963豪尔赛公告，近日，公司收到参股基金共青城秋实股权投资合伙企业的通知，中芯集成已向浙江证监局报送了辅导备案材料，目前正在接受海通证券股份有限公司的辅导。中芯集成的主营业务是以微机电（MEMS,293,0,2021-10-13 10:44
可以做多了，下午大涨。,257,0,2021-10-13 10:07
今天最后一跌，加仓了。,264,0,2021-10-13 09:15
昨天市场出现了明显的下跌，各大指数均跌幅超过了1%，创业板、中证500跌幅更是接,491,0,2021-10-13 07:24
以前听说过机器人与高手下棋的，现在是机器人与投资者十博奕的，斗不过的！！！,341,0,2021-10-13 02:19
又被锤,526,1,2021-10-12 08:36
10月13日可转债：无预告下，瑞丰转债下周一（10.18）上市，瑞丰正股是一只化,607,0,2021-10-12 05:46
沪深300在调整中，期权逐步买入，等待反弹。,317,1,2021-10-12 03:34
这么惨可能是因为资金都去乐北交所以及新三板的原因,316,1,2021-10-12 01:12
越来越像18年的走势了,348,1,2021-10-12 02:11
明天大涨吧，我全副身家都压上了，大家明天一起全仓干吧，保证有肉肉吃。,402,3,2021-10-12 01:08
沪深300要起来扛大旗了,471,1,2021-10-12 10:26
小时候，喜欢看耍猴，长大了，现自已成为了猴,350,1,2021-10-12 10:59
你能避免情绪交易吗？,268,0,2021-10-12 11:06
多转空，很失望,275,0,2021-10-12 10:47
看看月线[偷笑],269,0,2021-10-12 10:40
我看好这一波能上5400，大家明天一起全仓干吧，保证有肉肉吃。,286,0,2021-10-12 01:08
转发,233,0,2021-10-11 09:29
10月12日可转债：无今天没有新债的消息，也没有转债上市...泉峰、瑞丰挺住呀,574,0,2021-10-11 06:15
还没出现高点共振的指标！继续耐心的等着吧，行情不会一直不出现高低点指标，总会等来,277,0,2021-10-11 04:02
机构们忽悠广大散户去接盘白酒，为啥不喝奶而去喝酒呢？喝酒多伤身！喝茶、喝牛奶、喝,437,3,2021-10-11 09:42
高开低走，尾盘拉稀？,332,2,2021-10-11 11:07
转发,475,3,2021-10-10 08:05
80%的股票有风险,522,1,2021-10-02 07:08
行情可能会切换,660,0,2021-10-10 05:56
从港股的走强看到的未来！,488,0,2021-10-10 05:12
抖音上的大黑嘴赵红力天天骗大家高位买股，上演现实杀猪盘,17898,11,2021-11-20 09:17
300香，还是500香？今天进场，还是周三进场？,401,3,2021-10-08 01:54
（求教）为什么一众新能源获利的基金，都不愿意调仓换股，而是反复补仓，越补越跌？？,368,1,2021-10-08 09:29
第一区块源动力终于开始启动了！！日线0轴突破在即！目前没有高点！继续持八成仓不动,468,2,2021-10-08 03:11
耐心等待沪深300慢慢回落，期权买点在向你招手。,417,0,2021-10-08 08:54
10月11日可转债：无最近依旧没有新债的消息，大家耐心等待哈~预测价格：预测价格,896,0,2021-10-08 06:02
芒格再抄阿里...,3751,1,2021-10-07 10:08
老老实实B才是正道，涨什么涨,249,0,2021-10-08 01:09
国庆假期A股休市，而港股、美股则正常开盘交易，许多人便比较关注。昨天恒生指数大涨,852,0,2021-10-08 12:22
沪深300开始看空，目标价4600往下[旺柴],558,2,2021-10-06 12:30
后疫情时代,661,0,2021-10-07 09:40
沪深300十月份将从4866点冲到5666点，上涨800点，涨幅超16%，主要为,1073,3,2021-10-01 02:26
光伏板块的成长空间,613,0,2021-10-06 07:37
转发,372,0,2021-10-06 07:07
屋顶光伏项目有投资价值吗？,3227,1,2021-10-05 11:21
桐昆股份业绩暴增 1-9月浙石化加工原油1920万吨，全年加工量预计3000万吨，二期可以贡献半年利润，业绩可期！全年业绩大于90亿元，每股收益4元以上。,377,0,2021-10-05 11:19
上边不让涨,565,3,2021-09-29 04:16
越反弹越做空，这就对了,451,1,2021-09-29 02:04
看到300点，都是泡沫，割！,467,1,2021-09-29 02:09
长期角度看，加税政策是悬在美股头上“达摩克利斯之剑”，加税将直接影响上市公司的盈,693,0,2021-10-02 08:15
谈谈上证每一波上涨的直接原因。上证指数的上涨，是加权的上涨，占比60%以上的权重,1630,4,2021-10-01 12:22
下午沪深300就要瀑布了，耐心等待介入时机。,588,4,2021-09-30 12:03
昨天刚说深成指15分钟到日线全线底部钝化，今天就全部形成底背离了！上证120分钟,499,4,2021-09-30 03:16
今天有媒体统计，年内65%股民赚钱的，前三季度人均赚3.6万。但剔除掉新股的收益,625,0,2021-09-30 10:49
分析,416,0,2021-09-30 02:06
大幅卖出芯片股！散户大本营，全是套牢盘，下跌趋势，反抽就是逃跑机会！买进酒股，底,311,0,2021-09-30 01:10
国庆应该让红旗高高的升起,268,0,2021-09-30 10:42
给大家拉个小阳线，让大家安心过节消费旅游,285,0,2021-09-30 10:26
不用急，如果是下跌周期没结束，还有新低，到时会有日线底部钝化，剩下的两成仓一定要,753,4,2021-09-29 12:12
现在回头看看已经买100038沪深300指数三年之久了，我会继续坚持的！今天想再,661,4,2021-09-29 01:39
跌4000家，涨400家，指数却跌幅不大，佩服！,450,0,2021-09-29 03:07
9月30日可转债：元力转债：上市节前最后一天，元力上市，预计108左右，给大家送,1339,0,2021-09-29 06:02
坚持午评观点不变！虽然沪深目前没有低点指标，但深成指有15分钟到日线的全线底部钝,512,1,2021-09-29 04:09
拉银行券商护盘了，个股更惨,384,0,2021-09-29 01:50
重仓买进酒etf、消费etf，拐点主升浪刚开启，今天收盘可能要涨6个点以上！,537,2,2021-09-28 09:28
继续等！速度还是慢！等加速期的大阳线出来再找高点指标！这里已无限接近0轴，突破日,458,6,2021-09-28 03:05
这个假期额外收益别忘了（国债逆回购攻略）...,1182,1,2021-09-29 10:30
下跌放量，反弹缩量，还得跌，沪深300目标4400,412,1,2021-09-29 11:22
欢迎持续关注SmartETF策略！,402,0,2021-09-29 10:15
上涨初期速度慢，中后期速度应该都会加快，等加速期的太阳现出来再找高点指标[晕],428,2,2021-09-28 05:13
持币OR持仓,474,0,2021-09-28 09:17
9月29日可转债：百润转债：建议申购明天百润转债上市申购，当前静态价131，肉签,948,0,2021-09-28 05:47
上涨初期速度慢的话，中后期的速度大概率都会快，现在这三天上涨速度很慢，未来几天持,449,2,2021-09-27 03:29
[图片],464,1,2021-09-28 08:21
投资市场上没有永远的神，也没有只涨不跌的行业。昨天，周期股又迎来暴跌，有色金属E,440,0,2021-09-28 02:18
【股指】午盘还是低多参与,469,2,2021-09-27 01:36
买啥？,542,0,2021-09-27 09:00
9月28日可转债：无预告周三百润转债上市申购，正股百润股份是一家香精调味料公司，,845,0,2021-09-27 05:56
按照缠论趋势的分析，C段或许不一定出现，只要调整到位，某级别盘整走势走完之后，就,450,0,2021-09-27 05:25
基金定投的大坑...,761,2,2021-09-27 02:18
逢高做空，等于捡钱，A股永远适用,485,2,2021-09-27 11:23
沪深近40多天连续成交过万亿大盘不涨，一定是顶,478,0,2021-09-27 01:20
这股肯定要暴雷！上半年营收2629多亿，每股现金流量是每股负2元4角，钱都去哪儿,360,1,2021-09-27 12:27
继续拉白酒，不要停，你倒是拉啊,369,0,2021-09-27 11:25
重仓买进酒etf.消费etf，反转拐点，主升浪开启！,476,0,2021-09-27 10:41
坚持昨天的观点不变！持仓等下步操作指标！耐心点，如果是一波日线上涨，现在还没有结,570,4,2021-09-24 03:08
涨跌就在一瞬间，大家之前看好的煤炭、有色，已经开始跌落；而之前低迷的消费医药，则,521,0,2021-09-27 07:30
等待,552,0,2021-09-26 10:01
聊聊极其小众的基金指数...,920,0,2021-09-26 10:02
跟着政策走，跟着概念走，懂一点技术分析，这样就容易赚钱了，有啥感想欢迎评论,576,6,2021-09-24 08:31
转发,442,0,2021-09-25 09:35
这大盘看着像要完蛋啊！还是先撤吧，安全第一,338,0,2021-09-24 02:25
牛市来了！！！谁也挡不了！！！,340,0,2021-09-24 10:19
不要做日结！不要一买入就想着马上卖出！持仓需要耐心！一波日线上涨，至少五六天！耐,446,1,2021-09-23 03:23
近几年大家对基金的接触越来越多，需求也是多种多样，基金公司也就很努力的去开发各种,536,0,2021-09-24 09:15
横看成岭侧成峰，远近高低各不同。不知庐山真面目，只缘身在此山中。——炒股有感。,490,0,2021-09-24 09:10
证监会消息，我国资本市场个人投资者已突破1.9亿，持股市值在50万元以下的中小投,415,0,2021-09-23 11:44
这控盘技术天下第一[赞][赞][赞],370,1,2021-09-23 02:03
个股轮动的牛市，指数轮动的牛市。《赚钱的方法，来源于智慧。》《恭喜发财》,536,2,2021-09-17 03:54
300这日线，周线走的都太烂了，,595,1,2021-09-17 09:12
K点己现了，暴跌开始了！,647,2,2021-09-17 08:58
绿柱在放大，M值在上升，这是什么手法,510,1,2021-09-23 02:13
这两天的走势还是逆回购每天放水几百亿的情况下,463,0,2021-09-23 02:16
【600888新疆众和！】中期大牛！！启动买点！！！,355,1,2021-09-23 01:15
15分钟底背离形成120低九日线超卖条件左侧低点的确定性很大！千万不要浪费了！！,523,2,2021-09-22 01:12
这日线走势新人看不懂啊[为什么][为什么]，有没有懂的解释下？,406,2,2021-09-22 08:38
高开低走，且战且退，蓄力后发。,330,0,2021-09-23 11:08
执行上周五预订策略！加2成仓！目前总仓位8成！行情给出低点指标加仓，是天意，别浪,442,6,2021-09-22 11:40
中国首款氢能源发动机问世九月底量产,490,0,2021-09-23 08:36
充电25分钟续航千公里这,442,6,2021-09-23 06:50
国内中秋假期时，港股股市遭遇了黑色星期一，恒生指数暴跌了3.3%，其中最大跌幅达,704,0,2021-09-23 07:27
【多地加码“双控双限”，专家建议市场化手段节能降耗】多地近期纷纷加码能耗双控，从,85208,0,2021-09-23 06:19
【白酒股集体走低机构称茅、五、泸依旧是中长线价值之选】今日白酒板块大面积飘绿，古,745,0,2021-09-23 06:20
【美股大事丨道指期货涨200点联邦快递跌近5%】【时政新闻】美联储将结束为期两天,548,0,2021-09-22 09:33
何时出买点？,498,0,2021-09-22 09:22
【晚间重要公告汇总】【品大事】陕天然气：调整陕西省内天然气管道运价减少2021年,526,0,2021-09-22 07:34
9月23日可转债：川恒转债：上市你们期待的川恒终于来了，静态预测价223，转股价,1699,0,2021-09-22 05:29
日线超卖今天形成！国庆前均看多！现在8成仓，余下的2成仓只有在两种情况下买入做多,587,1,2021-09-22 04:01
【600888众和众和！】已无需再多言！！。。。,425,0,2021-09-22 02:32
买入煤炭etf全仓杀入，又开始一波主升浪,497,1,2021-09-22 02:07
午盘没买的，这里要买了！,491,5,2021-09-22 01:14
观望到节后，稳妥些吧！,376,0,2021-09-22 01:08
还有没有下限？,436,1,2021-09-22 10:39
【银河证券：高端装备多点开花继续重点看好各领域投资机会】银河证券指出，高端装备多,408,0,2021-09-22 11:33
沪深300已经创新高了！然后上平台！！,460,0,2021-09-22 09:32
周三大跌没跑了,559,2,2021-09-20 11:41
【机构论后市丨风格切换仍将持续重心继续向价值偏移】中金：A股市场机构化、头部化的,577,0,2021-09-22 06:31
危与机,642,0,2021-09-21 09:05
资金流入创业板,465,6,2021-09-14 02:37
9月22日可转债：无节后暂无可转债上市或申购，假期如有新债公告，再做通知哦~另外,794,1,2021-09-17 06:10
请问各位股友，预计节后开盘第一天怎么走？,714,7,2021-09-17 10:45
目前还是没有确定性大的低点！如果再下创新低，才会有大级别低点，到时可能会有15和,918,4,2021-09-17 03:48
第二个波浪第三个波浪起飞，就像上半年画了三个波浪,526,0,2021-09-19 08:36
量化时代来临，量化私募比主观私募的收益强太多了,538,0,2021-09-19 10:16
与君共勉,593,0,2021-09-18 02:42
中证红利反超300了...,752,1,2021-09-15 11:24
